,u,i,name,ts,label,cat,subcat,state,idx,cat_subcat
16704,906,1733,AutoZone,2618,-134.44,Autos,Auto Parts & Services,California,13846,Autos - Auto Parts & Services
16705,1539,1831,Mister Car Wash,2618,32.09,Autos,Auto Parts & Services,Florida,22648,Autos - Auto Parts & Services
16706,1582,1859,Rave,2618,25.72,Events & Attractions,Movie Theaters,Pennsylvania,23245,Events & Attractions - Movie Theaters
16707,716,1749,Chili's,2618,14.65,Restaurants,Casual Dining,Indiana,11122,Restaurants - Casual Dining
16708,497,1839,Panera Bread,2618,8.54,Restaurants,Fast Casual,Missouri,7755,Restaurants - Fast Casual
16709,1621,1733,AutoZone,2618,26.990000000000002,Autos,Auto Parts & Services,Ohio,23755,Autos - Auto Parts & Services
16710,694,1903,Waffle House,2618,12.02,Restaurants,Casual Dining,Alabama,10920,Restaurants - Casual Dining
16711,859,1907,Whole Foods Market,2618,10.76,Grocers,Supermarkets,Massachusetts,13177,Grocers - Supermarkets
16712,944,1857,Raley's,2618,22.69,Grocers,Supermarkets,California,14347,Grocers - Supermarkets
16713,1310,1733,AutoZone,2618,55.88,Autos,Auto Parts & Services,Texas,19723,Autos - Auto Parts & Services
16714,244,1839,Panera Bread,2618,10.4,Restaurants,Fast Casual,Virginia,3689,Restaurants - Fast Casual
16715,708,1733,AutoZone,2618,4.44,Autos,Auto Parts & Services,Pennsylvania,11057,Autos - Auto Parts & Services
16716,1260,1836,Olive Garden,2618,33.58,Restaurants,Casual Dining,Ohio,18869,Restaurants - Casual Dining
16717,1259,1733,AutoZone,2618,2.11,Autos,Auto Parts & Services,Michigan,18839,Autos - Auto Parts & Services
16718,392,1881,Sprouts Farmers Market,2618,28.74,Grocers,Supermarkets,Georgia,5961,Grocers - Supermarkets
16719,1585,1901,Vons,2618,21.43,Grocers,Supermarkets,California,23300,Grocers - Supermarkets
16720,308,1881,Sprouts Farmers Market,2618,3.61,Grocers,Supermarkets,Texas,4802,Grocers - Supermarkets
16721,1111,1801,Jamba Juice,2618,15.41,Restaurants,QSR,Arizona,16956,Restaurants - QSR
16722,521,1884,Taco Bell,2618,45.68,Restaurants,QSR,Oregon,8244,Restaurants - QSR
16723,1578,1884,Taco Bell,2618,19.77,Restaurants,QSR,Kentucky,23210,Restaurants - QSR
16724,1290,1839,Panera Bread,2618,4.43,Restaurants,Fast Casual,Maryland,19485,Restaurants - Fast Casual
16725,1639,1838,Panda Express,2618,9.66,Restaurants,Fast Casual,Colorado,23933,Restaurants - Fast Casual
16726,489,1812,Lidl,2618,8.68,Grocers,Discount Grocers,New Jersey,7459,Grocers - Discount Grocers
16727,855,1907,Whole Foods Market,2618,28.97,Grocers,Supermarkets,Michigan,13081,Grocers - Supermarkets
16728,785,1879,Sonic Drive-In,2618,9.37,Restaurants,QSR,Kentucky,12237,Restaurants - QSR
